Date,IUSG,IUSV,EFG,EFV,VWO,BND,BNDX,EMB,SHV,SHY,IEI,IEF,TLH,TLT,IAU,DBC,VNQ,VNQI,IXN,RXI,IXP,IXG,EXI,MXI,IXC,IXJ,KXI,JXI
2014-01-02,30.66180992126465,31.717159271240234,58.498573303222656,36.41887664794922,28.75578498840332,58.23564910888672,36.96074295043945,63.10038375854492,91.5754623413086,70.88735961914062,98.79126739501953,78.5828857421875,91.06578063964844,75.77783203125,23.760000228881836,22.10072135925293,41.28657531738281,34.36794662475586,12.458273887634277,72.60780334472656,47.38136291503906,41.727134704589844,58.064674377441406,45.5058479309082,27.64644432067871,35.86355209350586,32.596038818359375,29.872718811035156
2014-01-03,30.58295440673828,31.763797760009766,58.6486930847168,36.45783233642578,28.719568252563477,58.24293899536133,36.93096160888672,63.158729553222656,91.59207153320312,70.8621597290039,98.71724700927734,78.5355453491211,90.96073150634766,75.77783203125,24.020000457763672,21.96089744567871,41.516761779785156,34.39356231689453,12.408300399780273,72.35545349121094,47.24812698364258,41.787086486816406,58.254905700683594,45.38029479980469,27.601110458374023,35.99772644042969,32.661399841308594,29.886503219604492
2014-01-06,30.47342872619629,31.69901466369629,58.5402717590332,36.48381805419922,28.444313049316406,58.293827056884766,37.020301818847656,63.40958023071289,91.5837631225586,70.87059783935547,98.87348175048828,78.75643157958984,91.26836395263672,76.09678649902344,24.020000457763672,21.98711585998535,41.72776794433594,34.278263092041016,12.378011703491211,72.19011688232422,47.17097854614258,41.76460266113281,58.0233154296875,45.232574462890625,27.497495651245117,35.90549087524414,32.584503173828125,29.872718811035156
2014-01-07,30.67057228088379,31.885610580444336,58.7738037109375,36.730587005615234,28.560203552246094,58.36650085449219,37.10964584350586,63.4911994934082,91.5837631225586,70.87059783935547,98.95569610595703,78.88261413574219,91.53846740722656,76.28962707519531,23.899999618530273,21.969636917114258,41.9132080078125,34.335906982421875,12.461299896240234,72.53819274902344,47.42345428466797,42.04188537597656,58.29627227783203,45.06269454956055,27.71120834350586,36.190608978271484,32.67292785644531,29.9622802734375
2014-01-08,30.62676429748535,31.867456436157227,58.782142639160156,36.67863845825195,28.50951385498047,58.177513122558594,37.020301818847656,63.14125061035156,91.59207153320312,70.80337524414062,98.585693359375,78.49610137939453,91.11077880859375,76.0819091796875,23.780000686645508,21.759902954101562,41.70860290527344,34.29747009277344,12.480989456176758,72.40766143798828,47.24812698364258,42.19926452636719,58.17219543457031,45.0700798034668,27.562255859375,36.37511444091797,32.38845443725586,29.7900447845459
2014-01-09,30.701231002807617,31.877826690673828,58.70706558227539,36.633182525634766,28.328428268432617,58.286598205566406,37.050071716308594,63.187896728515625,91.59207153320312,70.82018280029297,98.70902252197266,78.70121002197266,91.55345916748047,76.52696990966797,23.84000015258789,21.585124969482422,41.70860290527344,34.29106521606445,12.417387962341309,72.32933807373047,47.01668930053711,42.23673629760742,58.288002014160156,44.715538024902344,27.491024017333984,36.62249755859375,32.38845443725586,29.93472671508789
2014-01-10,30.850183486938477,31.95816421508789,59.274208068847656,36.983863830566406,28.878908157348633,58.56999588012695,37.14690017700195,63.45624923706055,91.59207153320312,70.88735961914062,99.20235443115234,79.36376953125,92.34123229980469,77.43921661376953,24.18000030517578,21.724946975708008,42.27765655517578,34.63058853149414,12.44161319732666,72.78182220458984,47.33929443359375,42.30418395996094,58.57749938964844,44.9666748046875,27.601110458374023,36.827972412109375,32.53837966918945,30.348087310791016
2014-01-13,30.38582992553711,31.587589263916016,58.79880905151367,36.665653228759766,28.516752243041992,58.64999771118164,37.17668151855469,63.50868606567383,91.5837631225586,70.9041748046875,99.3750228881836,79.59248352050781,92.61878967285156,77.82490539550781,24.34000015258789,21.71620750427246,41.99632263183594,34.29106521606445,12.337127685546875,71.72891998291016,46.876426696777344,41.98193359375,58.07293701171875,44.64168167114258,27.23845100402832,36.47154998779297,32.346160888671875,29.920936584472656
2014-01-14,30.775697708129883,31.88300895690918,59.14910125732422,36.983863830566406,28.8354549407959,58.56275939941406,37.16178512573242,63.567039489746094,91.59207153320312,70.88735961914062,99.11190795898438,79.29273986816406,92.31120300292969,77.46892547607422,24.100000381469727,21.71620750427246,42.303245544433594,34.50246810913086,12.54761791229248,72.3641586303711,47.35331344604492,42.229244232177734,58.59403610229492,45.03315353393555,27.432735443115234,36.90762710571289,32.59220504760742,30.22407341003418
2014-01-15,30.94656753540039,32.061824798583984,59.33259582519531,37.20466232299805,28.828216552734375,58.52639389038086,37.14690017700195,63.57869338989258,91.59207153320312,70.8621597290039,99.02147674560547,79.22181701660156,92.23617553710938,77.38734436035156,24.059999465942383,21.777379989624023,42.622955322265625,34.51527404785156,12.66724967956543,72.60780334472656,47.54267501831055,42.626434326171875,59.02415466308594,45.276885986328125,27.37445068359375,36.916011810302734,32.511470794677734,30.155179977416992
2014-01-16,30.98599624633789,31.986675262451172,59.30757141113281,37.13972091674805,28.668859481811523,58.6572380065918,37.24366760253906,63.63705062866211,91.5837631225586,70.87894439697266,99.15303802490234,79.442626953125,92.61128234863281,77.90650939941406,24.100000381469727,21.74242401123047,42.69969177246094,34.43840026855469,12.643019676208496,72.25972747802734,47.59878921508789,42.35663986206055,58.84217834472656,45.63142395019531,27.426259994506836,37.04180145263672,32.54606246948242,30.29986572265625
